file,csrf_enforced,csrf_todo,escaped_outputs,json_hardened,notes
admin/acpmanage.php,false,true,11,false,
admin/backup.php,false,true,8,false,
admin/bannedemails.php,false,true,7,false,
admin/bans.php,false,true,8,false,
admin/bonusmanage.php,false,true,6,false,
admin/cheaters.php,false,true,12,false,
admin/class_config.php,false,true,6,false,
admin/cloudview.php,false,true,6,false,
admin/datareset.php,false,true,6,false,
admin/deathrow.php,false,true,7,false,
<<<<<< codex/enforce-csrf-and-output-escaping-9ffaz0
======
<<<<<< codex/enforce-csrf-and-output-escaping-y3qyza
======
<<<<<< codex/enforce-csrf-and-output-escaping-ism9l3
======
<<<<<< codex/enforce-csrf-and-output-escaping-m17p9q
======
<<<<<< codex/enforce-csrf-and-output-escaping-hb2amy
>>>>>> master
>>>>>> master
>>>>>> master
>>>>>> master
admin/delacct.php,false,true,3,false,
admin/editlog.php,false,true,4,false,
admin/findnotconnectable.php,false,true,7,false,
admin/floodlimit.php,false,true,4,false,
admin/forum_config.php,false,true,3,false,
admin/forum_manage.php,false,true,3,false,
admin/freeleech.php,false,true,6,false,
admin/grouppm.php,false,true,3,false,
admin/hit_and_run_settings.php,false,true,3,false,
admin/hnrwarn.php,false,true,4,false,
<<<<<< codex/enforce-csrf-and-output-escaping-9ffaz0
======
<<<<<< codex/enforce-csrf-and-output-escaping-y3qyza
======
<<<<<< codex/enforce-csrf-and-output-escaping-ism9l3
======
<<<<<< codex/enforce-csrf-and-output-escaping-m17p9q
>>>>>> master
>>>>>> master
>>>>>> master
admin/hit_and_run_settings.php,false,true,0,false,reviewed in batch offset 20 - existing TODO retained
admin/hnrwarn.php,false,true,0,false,reviewed in batch offset 20 - existing TODO retained
admin/inactive.php,false,true,3,false,added escaping helpers and csrf TODO marker
admin/invite_tree.php,false,true,5,false,normalized escaping for staff panel outputs
admin/leechwarn.php,false,true,4,false,added escaping helpers and csrf TODO marker
<<<<<< codex/enforce-csrf-and-output-escaping-9ffaz0
admin/bonusmanage.php,false,true,2,false,normalized self/base URLs and retained csrf TODO
admin/categories.php,false,true,14,false,added helper + sanitized forms/lists (batch offset 25)
admin/bonusmanage.php,false,true,6,false,escaped form attribute values for batch offset 25 slice
admin/bonusmanage.php,false,true,3,false,switched display strings to shared $s() helper (batch offset 28)
admin/categories.php,false,true,12,false,escaped category forms and selectors via $s() helper (batch offset 28)
======
<<<<<< codex/enforce-csrf-and-output-escaping-y3qyza
admin/bonusmanage.php,false,true,2,false,normalized self/base URLs and retained csrf TODO
admin/categories.php,false,true,14,false,added helper + sanitized forms/lists (batch offset 25)
admin/bonusmanage.php,false,true,6,false,escaped form attribute values for batch offset 25 slice
======
<<<<<< codex/enforce-csrf-and-output-escaping-ism9l3
admin/bonusmanage.php,false,true,2,false,normalized self/base URLs and retained csrf TODO
admin/categories.php,false,true,14,false,added helper + sanitized forms/lists (batch offset 25)
======
======
======
>>>>>> master
>>>>>> master
>>>>>> master
>>>>>> master
>>>>>> master
public/ajax/tvmaze_lookup.php,false,true,0,true,json response hardened
public/ajax/checkport.php,false,true,0,true,json response hardened
public/bugs.php,false,true,4,false,added helper for self links and noted csrf gap in view/add handlers (batch offset 36)
admin/reputation_settings.php,false,true,2,false,normalized form/breadcrumb escaping with csrf TODO (batch offset 36)
public/subtitles.php,false,true,12,false,escaped form fields, filters, and language badges plus csrf TODO (batch offset 36)
admin/delacct.php,false,true,0,false,documented csrf follow-up for deletion flow (batch offset 41)
admin/editlog.php,false,true,3,false,escaped coder log file names and logged csrf TODO (batch offset 41)
public/ajax/autocomplete.php,false,true,3,false,
public/ajax/bookmarks.php,false,true,0,true,
public/ajax/checkports.php,false,true,3,true,
public/ajax/cooker_notify.php,false,true,0,true,
public/ajax/descr_format.php,false,true,0,true,
public/achievementlist.php,false,true,4,false,
admin/watched_users.php,false,true,5,false,
public/ajax/ebook_lookup.php,false,true,0,true,json headers + JSON_THROW_ON_ERROR responses (batch offset 56)
public/ajax/imdb_lookup.php,false,true,0,true,json headers + JSON_THROW_ON_ERROR responses (batch offset 56)
public/ajax/isbn_lookup.php,false,true,0,true,json headers + JSON_THROW_ON_ERROR responses (batch offset 56)
public/ajax/like.php,false,true,0,true,json payloads hardened and header normalized (batch offset 56)
public/ajax/member_input.php,false,true,0,false,reviewed staff actions remain TODO for CSRF follow-up (batch offset 56)
public/ajax/offer_notify.php,false,true,0,true,json responses normalized + insert/delete handling tightened (batch offset 56)
public/ajax/offer_status.php,false,true,0,true,json responses normalized (batch offset 56)
public/ajax/offer_vote.php,false,true,0,true,json responses normalized (batch offset 56)
public/ajax/rating.php,false,true,2,false,added $s helper for rating tooltip/style escapes and noted csrf gap (batch offset 56)
public/ajax/request_notify.php,false,true,0,true,reworked notification toggles with bound params + JSON_THROW_ON_ERROR (batch offset 56)
